month,Mmm,quarter,fiscal_year
01-Apr-19,Apr,Q1,2019
01-May-19,May,Q1,2019
01-Jun-19,Jun,Q1,2019
01-Jul-19,Jul,Q2,2019
01-Aug-19,Aug,Q2,2019
01-Sep-19,Sep,Q2,2019
01-Oct-19,Oct,Q3,2019
01-Nov-19,Nov,Q3,2019
01-Dec-19,Dec,Q3,2019
01-Jan-20,Jan,Q4,2019
01-Feb-20,Feb,Q4,2019
01-Mar-20,Mar,Q4,2019
01-Apr-20,Apr,Q1,2020
01-May-20,May,Q1,2020
01-Jun-20,Jun,Q1,2020
01-Jul-20,Jul,Q2,2020
01-Aug-20,Aug,Q2,2020
01-Sep-20,Sep,Q2,2020
01-Oct-20,Oct,Q3,2020
01-Nov-20,Nov,Q3,2020
01-Dec-20,Dec,Q3,2020
01-Jan-21,Jan,Q4,2020
01-Feb-21,Feb,Q4,2020
01-Mar-21,Mar,Q4,2020
01-Apr-21,Apr,Q1,2021
01-May-21,May,Q1,2021
01-Jun-21,Jun,Q1,2021
01-Jul-21,Jul,Q2,2021
01-Aug-21,Aug,Q2,2021
01-Sep-21,Sep,Q2,2021
01-Oct-21,Oct,Q3,2021
01-Nov-21,Nov,Q3,2021
01-Dec-21,Dec,Q3,2021
01-Jan-22,Jan,Q4,2021
01-Feb-22,Feb,Q4,2021
01-Mar-22,Mar,Q4,2021
01-Apr-22,Apr,Q1,2022
01-May-22,May,Q1,2022
01-Jun-22,Jun,Q1,2022
01-Jul-22,Jul,Q2,2022
01-Aug-22,Aug,Q2,2022
01-Sep-22,Sep,Q2,2022
01-Oct-22,Oct,Q3,2022
01-Nov-22,Nov,Q3,2022
01-Dec-22,Dec,Q3,2022
01-Jan-23,Jan,Q4,2022
01-Feb-23,Feb,Q4,2022
01-Mar-23,Mar,Q4,2022
