dist_code,month,sector,investment in cr,number_of_employees
15_1,01-Jan-20,"Real Estate,Industrial Parks and IT Buildings",394,57000
15_1,01-Feb-21,"Real Estate,Industrial Parks and IT Buildings",0,40541
15_1,01-May-19,"Real Estate,Industrial Parks and IT Buildings",847.82,40250
15_1,01-Mar-21,"Real Estate,Industrial Parks and IT Buildings",0,31315
15_1,01-Jul-20,"Real Estate,Industrial Parks and IT Buildings",149,27000
15_1,01-Jul-19,"Real Estate,Industrial Parks and IT Buildings",975,25500
15_1,01-Feb-20,"Real Estate,Industrial Parks and IT Buildings",17793.35,25419
15_1,01-Oct-19,"Real Estate,Industrial Parks and IT Buildings",732.76,22500
15_1,01-Sep-19,"Real Estate,Industrial Parks and IT Buildings",210.3,16155
15_1,01-Mar-20,"Real Estate,Industrial Parks and IT Buildings",1536.04,15400
15_1,01-Aug-19,"Real Estate,Industrial Parks and IT Buildings",490.6,15000
15_1,01-Apr-19,"Real Estate,Industrial Parks and IT Buildings",291.7,14048
15_1,01-Nov-19,"Real Estate,Industrial Parks and IT Buildings",145.18,10200
17_2,01-Jan-23,Automobile,1254.27,7000
23_3,01-Nov-22,"Real Estate,Industrial Parks and IT Buildings",10,6078
15_1,01-Oct-22,Automobile,219.89,5928
17_2,01-Jul-21,Pharmaceuticals and Chemicals,476.94,3498
17_2,01-Sep-21,Pharmaceuticals and Chemicals,355.94,2919
17_2,01-Mar-22,R&D,60.24,2510
23_3,01-Oct-21,Pharmaceuticals and Chemicals,176.75,2160
23_3,01-Jun-21,Pharmaceuticals and Chemicals,377.08,2098
23_1,01-Jul-21,Pharmaceuticals and Chemicals,457.74,2000
23_3,01-Jul-21,Pharmaceuticals and Chemicals,346.74,1887
17_2,01-Jan-23,Plastic and Rubber,1553,1812
17_2,01-Feb-21,Pharmaceuticals and Chemicals,27.79,1705
17_2,01-Jan-22,Pharmaceuticals and Chemicals,88.05,1696
14_1,01-Sep-19,R&D,190.06,1650
23_3,01-Nov-22,Granite and Stone Crushing,5.39,1605
15_2,01-Mar-23,Automobile,6.13,1542
15_1,01-Jan-23,Solar and Other Renewable Energy,2,1500
15_1,01-Feb-23,Others,176.35,1420
17_2,01-Jul-22,Pharmaceuticals and Chemicals,72.62,1415
